10:12:44:537 [ALWAYS]	GUDE Logging Started
10:12:44:537 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:12:44:537 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:12:44:537 [ERROR]	Initialize resume cache pointer failure
10:12:44:538 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:12:44:538 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:12:53:840 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:12:53:840 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:12:53:840 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:12:53:841 [ERROR]	Initialize resume cache pointer failure
10:12:53:841 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:12:53:841 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
